
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
        20  20 -2.060506E+05 -7.408398E+05 -1.126773E+07  4.893602E+04 -5.201763E+05  9.293190E+06
        20  21 -1.332326E+05 -7.922975E+05 -4.517991E+06  2.518661E+04 -2.219113E+05  1.031848E+07
        20  22 -3.171713E+05 -5.393483E+05 -8.539077E+07  1.114743E+05 -9.317716E+05  5.804788E+06
        20  23 -2.573459E+05 -5.453820E+05 -7.882302E+07  8.600290E+04 -6.067237E+05  6.138090E+06
        20  24  7.776335E+03 -4.720457E+05 -7.165032E+07  7.129246E+04 -2.676744E+05  6.933260E+06
        20  25 -1.464364E+06 -1.516283E+06 -1.559574E+08  1.165080E+05 -1.338321E+06  2.720568E+06
        20  26 -1.472254E+06 -1.657541E+06 -1.495734E+08  1.000756E+05 -9.768697E+05  2.821734E+06
        20  27 -1.135043E+06 -1.579627E+06 -1.422583E+08  9.440414E+04 -6.026320E+05  3.389352E+06
        21   1 -2.671888E+05  2.920101E+04  1.314267E+08 -6.833852E+04 -1.393457E+06  5.303859E+06
        21   2 -8.390546E+04 -8.949617E+03  1.380343E+08 -9.818776E+04 -1.677568E+06  4.306083E+06
        21   3 -6.869918E+04 -1.046247E+05  1.441391E+08 -1.371732E+05 -1.912894E+06  4.254983E+06
        21   4 -3.291230E+05  4.509431E+04  6.704472E+07 -4.568711E+04 -7.044365E+05  1.031368E+07
        21   5 -2.213405E+05 -1.046776E+04  7.349722E+07 -8.342927E+04 -1.050600E+06  9.035863E+06
        21   6 -2.005253E+05 -4.244465E+04  7.963624E+07 -1.303076E+05 -1.346402E+06  8.696098E+06
        21   7  2.325064E+05  8.108897E+05  4.538854E+06 -3.127275E+03 -4.232351E+05  1.477601E+07
        21   8  1.967476E+05  6.698756E+05  1.067751E+07 -4.876234E+04 -8.218687E+05  1.321541E+07
        21   9  1.551311E+05  6.335563E+05  1.669195E+07 -1.035336E+05 -1.168565E+06  1.258424E+07
        21  10 -1.369776E+05  4.190698E+05  1.139402E+08 -1.075442E+05 -1.149474E+06  3.018205E+06
        21  11  3.553172E+04  4.203048E+05  1.196268E+08 -3.820766E+04 -1.593986E+06  1.851764E+06
        21  12  1.409157E+04  3.036462E+05  1.247849E+08  2.514525E+04 -1.989714E+06  1.740145E+06
        21  13 -4.091186E+05  2.427305E+04  5.788931E+07 -1.007847E+05 -4.046402E+05  9.172621E+06
        21  14 -2.808612E+05  2.208212E+04  6.348377E+07 -3.742613E+04 -8.807087E+05  7.644196E+06
        21  15 -2.654436E+05 -1.689270E+04  6.873887E+07  1.994879E+04 -1.306416E+06  7.161969E+06
        21  16  9.375383E+03  4.081232E+05  3.743329E+06 -7.959593E+04 -1.583465E+05  1.477954E+07
        21  17  2.534029E+04  3.344657E+05  9.086799E+06 -2.221531E+04 -6.563897E+05  1.288639E+07
        21  18  9.575068E+03  3.051340E+05  1.428018E+07  2.918163E+04 -1.102496E+06  1.203082E+07
        21  19  1.268169E+06  1.460404E+06  9.703153E+07 -3.945791E+04 -1.620479E+06  7.284403E+06
        21  20  1.456240E+06  1.562475E+06  1.018236E+08 -2.623603E+04 -2.225392E+06  5.987207E+06
        21  21  1.424490E+06  1.486284E+06  1.060613E+08 -1.584530E+04 -2.781521E+06  5.852980E+06
        21  22  2.422691E+05  4.219662E+05  4.907888E+07 -3.103293E+04 -7.819199E+05  1.458341E+07
        21  23  4.173375E+05  5.345971E+05  5.384162E+07 -2.187412E+04 -1.387894E+06  1.284229E+07
        21  24  4.536935E+05  5.500750E+05  5.823914E+07 -1.554645E+04 -1.943507E+06  1.225551E+07
        21  25 -2.592422E+04  1.909204E+05  3.059822E+06 -1.365782E+04 -5.326223E+05  2.133493E+07
        21  26  6.810042E+04  2.460702E+05  7.634439E+06 -8.562061E+03 -1.130075E+06  1.914714E+07
        21  27  1.045225E+05  2.851767E+05  1.203309E+07 -6.297460E+03 -1.675591E+06  1.810508E+07
        22   1  8.489318E+04 -6.211952E+04  1.476098E+08  1.402486E+05 -8.739180E+05  4.251042E+06
        22   2 -7.681089E+04 -7.195496E+04  1.533298E+08  1.086853E+05 -2.614466E+05  4.249371E+06
        22   3 -2.664402E+05 -2.128918E+04  1.588961E+08  8.262189E+04  4.058987E+05  5.133610E+06
        22   4 -7.624014E+04 -5.643937E+03  8.311377E+07  1.419726E+05 -1.152660E+06  8.696275E+06
        22   5 -2.273380E+05 -5.292023E+04  8.885881E+07  1.008667E+05 -6.557524E+05  8.998504E+06
        22   6 -3.367780E+05  2.988786E+04  9.461262E+07  6.526075E+04 -1.050522E+05  1.017969E+07
        22   7  2.789068E+05  6.746235E+05  2.018072E+07  1.251731E+05 -1.213193E+06  1.258846E+07
        22   8  1.921976E+05  6.436889E+05  2.607638E+07  7.452459E+04 -8.237400E+05  1.319708E+07
        22   9  2.167296E+05  8.124219E+05  3.214317E+07  2.937600E+04 -3.815768E+05  1.467770E+07
        22  10  9.227432E+04  3.109222E+05  1.277541E+08 -1.040127E+04 -7.963854E+05  1.741348E+06
        22  11  4.080842E+04  3.497799E+05  1.328416E+08  5.814204E+04 -1.286614E+05  1.807955E+06
        22  12 -5.943395E+04  4.004860E+05  1.377547E+08  1.300220E+05  5.939365E+05  2.853250E+06
        22  13 -2.063754E+05 -1.235935E+04  7.171579E+07 -1.606735E+04 -1.130545E+06  7.166027E+06
        22  14 -2.817189E+05 -3.114735E+04  7.675245E+07  4.524853E+04 -5.629838E+05  7.614134E+06
        22  15 -3.362558E+05  3.149610E+04  8.177704E+07  1.099010E+05  5.836972E+04  9.033977E+06
        22  16  6.801118E+04  3.124749E+05  1.726486E+07 -3.528086E+04 -1.174784E+06  1.203766E+07
        22  17  2.257256E+04  2.898238E+05  2.237615E+07  1.880758E+04 -6.992778E+05  1.286975E+07
        22  18  6.752381E+04  4.181872E+05  2.763773E+07  7.623263E+04 -1.710607E+05  1.466663E+07
        22  19  1.486680E+06  1.508186E+06  1.085617E+08  1.873943E+04 -1.241976E+06  5.857022E+06
        22  20  1.563121E+06  1.636963E+06  1.130345E+08  3.263553E+04 -5.189997E+05  5.946072E+06
        22  21  1.569934E+06  1.728936E+06  1.173120E+08  4.770497E+04  2.588509E+05  7.106587E+06
        22  22  5.088754E+05  5.730162E+05  6.074905E+07  1.746219E+04 -1.677389E+06  1.226115E+07
        22  23  5.269547E+05  6.239429E+05  6.509501E+07  2.644601E+04 -1.039174E+06  1.280930E+07
        22  24  5.449893E+05  7.076481E+05  6.940804E+07  3.660316E+04 -3.471674E+05  1.442196E+07
        22  25  1.608632E+05  3.102866E+05  1.454811E+07  7.613687E+03 -1.751170E+06  1.811223E+07
        22  26  1.743636E+05  3.371453E+05  1.889271E+07  1.168523E+04 -1.189610E+06  1.912196E+07
        22  27  2.574025E+05  4.663656E+05  2.336673E+07  1.693011E+04 -5.753391E+05  2.118926E+07
        23   1 -2.167296E+05 -8.124219E+05 -3.214317E+07 -2.937600E+04 -3.815768E+05  1.467770E+07
        23   2 -1.921976E+05 -6.436889E+05 -2.607638E+07 -7.452459E+04 -8.237400E+05  1.319708E+07
        23   3 -2.789068E+05 -6.746235E+05 -2.018072E+07 -1.251731E+05 -1.213193E+06  1.258846E+07
        23   4  3.367780E+05 -2.988786E+04 -9.461262E+07 -6.526075E+04 -1.050522E+05  1.017969E+07
        23   5  2.273380E+05  5.292023E+04 -8.885881E+07 -1.008667E+05 -6.557524E+05  8.998504E+06
        23   6  7.624014E+04  5.643937E+03 -8.311377E+07 -1.419726E+05 -1.152660E+06  8.696275E+06
        23   7  2.664402E+05  2.128918E+04 -1.588961E+08 -8.262189E+04  4.058987E+05  5.133610E+06
        23   8  7.681089E+04  7.195496E+04 -1.533298E+08 -1.086853E+05 -2.614466E+05  4.249371E+06
        23   9 -8.489318E+04  6.211952E+04 -1.476098E+08 -1.402486E+05 -8.739180E+05  4.251042E+06
        23  10 -6.752381E+04 -4.181872E+05 -2.763773E+07 -7.623263E+04 -1.710607E+05  1.466663E+07
        23  11 -2.257256E+04 -2.898238E+05 -2.237615E+07 -1.880758E+04 -6.992778E+05  1.286975E+07
        23  12 -6.801118E+04 -3.124749E+05 -1.726486E+07  3.528086E+04 -1.174784E+06  1.203766E+07
        23  13  3.362558E+05 -3.149610E+04 -8.177704E+07 -1.099010E+05  5.836972E+04  9.033977E+06
        23  14  2.817189E+05  3.114735E+04 -7.675245E+07 -4.524853E+04 -5.629838E+05  7.614134E+06
        23  15  2.063754E+05  1.235935E+04 -7.171579E+07  1.606735E+04 -1.130545E+06  7.166027E+06
        23  16  5.943395E+04 -4.004860E+05 -1.377547E+08 -1.300220E+05  5.939365E+05  2.853250E+06
        23  17 -4.080842E+04 -3.497799E+05 -1.328416E+08 -5.814204E+04 -1.286614E+05  1.807955E+06
        23  18 -9.227432E+04 -3.109222E+05 -1.277541E+08  1.040127E+04 -7.963854E+05  1.741348E+06
        23  19 -2.574025E+05 -4.663656E+05 -2.336673E+07 -1.693011E+04 -5.753391E+05  2.118926E+07
        23  20 -1.743636E+05 -3.371453E+05 -1.889271E+07 -1.168523E+04 -1.189610E+06  1.912196E+07
        23  21 -1.608632E+05 -3.102866E+05 -1.454811E+07 -7.613687E+03 -1.751170E+06  1.811223E+07
        23  22 -5.449893E+05 -7.076481E+05 -6.940804E+07 -3.660316E+04 -3.471674E+05  1.442196E+07
        23  23 -5.269547E+05 -6.239429E+05 -6.509501E+07 -2.644601E+04 -1.039174E+06  1.280930E+07
        23  24 -5.088754E+05 -5.730162E+05 -6.074905E+07 -1.746219E+04 -1.677389E+06  1.226115E+07
        23  25 -1.569934E+06 -1.728936E+06 -1.173120E+08 -4.770497E+04  2.588509E+05  7.106587E+06
        23  26 -1.563121E+06 -1.636963E+06 -1.130345E+08 -3.263553E+04 -5.189997E+05  5.946072E+06
        23  27 -1.486680E+06 -1.508186E+06 -1.085617E+08 -1.873943E+04 -1.241976E+06  5.857022E+06
        24   1 -1.551311E+05 -6.335563E+05 -1.669195E+07  1.035336E+05 -1.168565E+06  1.258424E+07
        24   2 -1.967476E+05 -6.698756E+05 -1.067751E+07  4.876234E+04 -8.218687E+05  1.321541E+07
        24   3 -2.325064E+05 -8.108897E+05 -4.538854E+06  3.127275E+03 -4.232351E+05  1.477601E+07
        24   4  2.005253E+05  4.244465E+04 -7.963624E+07  1.303076E+05 -1.346402E+06  8.696098E+06
        24   5  2.213405E+05  1.046776E+04 -7.349722E+07  8.342927E+04 -1.050600E+06  9.035863E+06
        24   6  3.291230E+05 -4.509431E+04 -6.704472E+07  4.568711E+04 -7.044365E+05  1.031368E+07
        24   7  6.869918E+04  1.046247E+05 -1.441391E+08  1.371732E+05 -1.912894E+06  4.254983E+06
        24   8  8.390546E+04  8.949617E+03 -1.380343E+08  9.818776E+04 -1.677568E+06  4.306083E+06
        24   9  2.671888E+05 -2.920101E+04 -1.314267E+08  6.833852E+04 -1.393457E+06  5.303859E+06
        24  10 -9.575068E+03 -3.051340E+05 -1.428018E+07 -2.918163E+04 -1.102496E+06  1.203082E+07
        24  11 -2.534029E+04 -3.344657E+05 -9.086799E+06  2.221531E+04 -6.563897E+05  1.288639E+07
        24  12 -9.375383E+03 -4.081232E+05 -3.743329E+06  7.959593E+04 -1.583465E+05  1.477954E+07
        24  13  2.654436E+05  1.689270E+04 -6.873887E+07 -1.994879E+04 -1.306416E+06  7.161969E+06
        24  14  2.808612E+05 -2.208212E+04 -6.348377E+07  3.742613E+04 -8.807087E+05  7.644196E+06
        24  15  4.091186E+05 -2.427305E+04 -5.788931E+07  1.007847E+05 -4.046402E+05  9.172621E+06
        24  16 -1.409157E+04 -3.036462E+05 -1.247849E+08 -2.514525E+04 -1.989714E+06  1.740145E+06
        24  17 -3.553172E+04 -4.203048E+05 -1.196268E+08  3.820766E+04 -1.593986E+06  1.851764E+06
        24  18  1.369776E+05 -4.190698E+05 -1.139402E+08  1.075442E+05 -1.149474E+06  3.018205E+06
        24  19 -1.045225E+05 -2.851767E+05 -1.203309E+07  6.297460E+03 -1.675591E+06  1.810508E+07
        24  20 -6.810042E+04 -2.460702E+05 -7.634439E+06  8.562061E+03 -1.130075E+06  1.914714E+07
        24  21  2.592422E+04 -1.909204E+05 -3.059822E+06  1.365782E+04 -5.326223E+05  2.133493E+07
        24  22 -4.536935E+05 -5.500750E+05 -5.823914E+07  1.554645E+04 -1.943507E+06  1.225551E+07
        24  23 -4.173375E+05 -5.345971E+05 -5.384162E+07  2.187412E+04 -1.387894E+06  1.284229E+07
        24  24 -2.422691E+05 -4.219662E+05 -4.907888E+07  3.103293E+04 -7.819199E+05  1.458341E+07
        24  25 -1.424490E+06 -1.486284E+06 -1.060613E+08  1.584530E+04 -2.781521E+06  5.852980E+06
        24  26 -1.456240E+06 -1.562475E+06 -1.018236E+08  2.623603E+04 -2.225392E+06  5.987207E+06
        24  27 -1.268169E+06 -1.460404E+06 -9.703153E+07  3.945791E+04 -1.620479E+06  7.284403E+06
        25   1 -1.100753E+06 -1.187441E+06  7.835939E+07  1.094253E+04 -1.825519E+06  7.835601E+06
        25   2 -1.188582E+06 -1.298536E+06  8.190490E+07 -2.515095E+04 -2.399780E+06  6.411171E+06
        25   3 -1.160949E+06 -1.277744E+06  8.570340E+07 -6.165089E+04 -2.915746E+06  6.284002E+06
        25   4 -2.875976E+05 -2.947735E+05  4.112269E+07  1.852782E+04 -8.905958E+05  1.548414E+07
        25   5 -3.933628E+05 -4.150749E+05  4.462114E+07 -1.936817E+04 -1.496945E+06  1.360946E+07
        25   6 -4.176622E+05 -4.374854E+05  4.829325E+07 -5.767061E+04 -2.042409E+06  1.301908E+07
        25   7  1.589369E+05  2.513034E+05  3.097300E+06  3.007153E+04 -5.848930E+05  2.246722E+07
        25   8  6.343386E+04  1.499940E+05  6.614490E+06 -9.626969E+03 -1.207434E+06  2.013647E+07
        25   9  1.540138E+04  1.125801E+05  1.022602E+07 -4.973192E+04 -1.766500E+06  1.907704E+07
        25  10  4.912734E+04 -1.349639E+05  5.806391E+07  3.897406E+04 -1.398262E+06  3.630711E+06
        25  11 -2.461101E+04 -1.247250E+05  6.052461E+07  1.833360E+04 -1.884452E+06  2.232565E+06
        25  12 -2.179612E+04 -7.338517E+04  6.319939E+07  2.466633E+03 -2.312347E+06  2.086354E+06
        25  13  1.356993E+05 -2.028741E+04  3.049500E+07  3.047437E+04 -5.001614E+05  1.082444E+07
        25  14  8.328935E+04 -1.370001E+04  3.298908E+07  1.388486E+04 -1.041641E+06  9.013494E+06
        25  15  7.343731E+04 -6.960596E+00  3.561791E+07  2.068829E+03 -1.522236E+06  8.441513E+06
        25  16 -3.307725E+04 -2.045136E+05  2.185091E+06  1.425822E+04 -1.936835E+05  1.735271E+07
        25  17 -3.596011E+04 -1.733790E+05  4.778345E+06  1.719649E+03 -7.745569E+05  1.512313E+07
        25  18 -3.028037E+04 -1.691340E+05  7.427030E+06 -6.045438E+03 -1.291956E+06  1.411955E+07
        25  19  8.146898E+05  6.801427E+05  3.758192E+07  5.488151E+04 -1.836722E+06  7.209792E+06
        25  20  7.545753E+05  8.106267E+05  3.895735E+07  9.394533E+04 -2.234842E+06  5.889462E+06
        25  21  7.321062E+05  8.914264E+05  4.050795E+07  1.429626E+05 -2.574667E+06  5.775738E+06
        25  22  3.295577E+05  8.320488E+04  1.974718E+07  2.998585E+04 -9.239155E+05  1.394871E+07
        25  23  3.300366E+05  2.155926E+05  2.123642E+07  7.895406E+04 -1.400526E+06  1.225303E+07
        25  24  3.341654E+05  2.643007E+05  2.282151E+07  1.378757E+05 -1.816252E+06  1.175098E+07
        25  25 -2.996505E+05 -7.649475E+05  1.219130E+06 -1.430116E+04 -5.651324E+05  2.002218E+07
        25  26 -2.103797E+05 -6.024573E+05  2.887980E+06  4.457145E+04 -1.104338E+06  1.794530E+07
        25  27 -1.514542E+05 -5.576420E+05  4.573353E+06  1.133975E+05 -1.580070E+06  1.704909E+07
        26   1 -1.133939E+06 -1.270481E+06  8.784315E+07  5.702275E+04 -1.321530E+06  6.285850E+06
        26   2 -1.266340E+06 -1.376910E+06  9.123670E+07  2.206759E+04 -5.134483E+05  6.356945E+06
        26   3 -1.347373E+06 -1.419075E+06  9.473722E+07 -1.322961E+04  3.623485E+05  7.628592E+06
        26   4 -3.965676E+05 -4.332769E+05  5.042872E+07  6.055071E+04 -1.765604E+06  1.302374E+07
        26   5 -4.797250E+05 -4.976835E+05  5.394736E+07  2.341629E+04 -1.074639E+06  1.356951E+07
        26   6 -5.407394E+05 -5.270500E+05  5.750477E+07 -1.406016E+04 -3.174810E+05  1.530566E+07
        26   7  3.717599E+04  1.175548E+05  1.236335E+07  6.012634E+04 -1.844207E+06  1.908439E+07
        26   8 -1.895478E+04  7.295428E+04  1.595524E+07  2.081268E+04 -1.256651E+06  2.011028E+07
        26   9 -8.216769E+04  3.416875E+04  1.951770E+07 -1.884302E+04 -6.044247E+05  2.231638E+07
        26  10 -6.124028E+04 -8.102683E+04  6.475841E+07 -5.233700E+03 -9.592517E+05  2.087064E+06
        26  11 -2.892937E+04 -1.010676E+05  6.744087E+07 -2.448369E+04 -1.483509E+05  2.177398E+06
        26  12  2.424451E+04 -1.280217E+05  7.019979E+07 -4.711999E+04  7.302653E+05  3.429316E+06
        26  13  4.165860E+04 -6.873409E+03  3.717379E+07 -2.434560E+03 -1.337915E+06  8.446125E+06
        26  14  8.217817E+04  1.955982E+03  3.988410E+07 -1.678692E+04 -6.606013E+05  8.977441E+06
        26  15  1.143356E+05 -2.535322E+04  4.260267E+07 -3.452560E+04  8.290537E+04  1.066017E+07
        26  16 -6.312234E+04 -1.779715E+05  8.979347E+06  7.308989E+03 -1.380728E+06  1.412794E+07
        26  17 -3.661111E+04 -1.624890E+05  1.166565E+07 -2.145745E+03 -8.232953E+05  1.510569E+07
        26  18 -4.768720E+04 -2.123702E+05  1.429203E+07 -1.498680E+04 -2.011915E+05  1.722469E+07
        26  19  5.992715E+05  8.503151E+05  4.147257E+07 -1.428147E+05 -1.201908E+06  5.772176E+06
        26  20  7.840951E+05  8.881984E+05  4.343175E+07 -1.013682E+05 -3.881879E+05  5.819448E+06
        26  21  9.592766E+05  8.479895E+05  4.543689E+07 -6.635224E+04  4.932478E+05  6.989338E+06
        26  22  2.251677E+05  2.289052E+05  2.378525E+07 -1.488772E+05 -1.577459E+06  1.175241E+07
        26  23  3.771650E+05  2.825057E+05  2.567503E+07 -9.545617E+04 -9.137976E+05  1.220697E+07
        26  24  4.902949E+05  2.287888E+05  2.754256E+07 -4.846576E+04 -1.839427E+05  1.377399E+07
        26  25 -2.606682E+05 -5.966357E+05  5.529226E+06 -1.370986E+05 -1.646783E+06  1.705540E+07
        26  26 -1.637142E+05 -5.495351E+05  7.297757E+06 -7.170305E+04 -1.119474E+06  1.792271E+07
        26  27 -1.348527E+05 -6.389770E+05  8.975855E+06 -1.273814E+04 -5.274928E+05  1.989229E+07
        27   1  8.216769E+04 -3.416875E+04 -1.951770E+07  1.884302E+04 -6.044247E+05  2.231638E+07
        27   2  1.895478E+04 -7.295428E+04 -1.595524E+07 -2.081268E+04 -1.256651E+06  2.011028E+07
        27   3 -3.717599E+04 -1.175548E+05 -1.236335E+07 -6.012634E+04 -1.844207E+06  1.908439E+07
        27   4  5.407394E+05  5.270500E+05 -5.750477E+07  1.406016E+04 -3.174810E+05  1.530566E+07
        27   5  4.797250E+05  4.976835E+05 -5.394736E+07 -2.341629E+04 -1.074639E+06  1.356951E+07
        27   6  3.965676E+05  4.332769E+05 -5.042872E+07 -6.055071E+04 -1.765604E+06  1.302374E+07
        27   7  1.347373E+06  1.419075E+06 -9.473722E+07  1.322961E+04  3.623485E+05  7.628592E+06
        27   8  1.266340E+06  1.376910E+06 -9.123670E+07 -2.206759E+04 -5.134483E+05  6.356945E+06
        27   9  1.133939E+06  1.270481E+06 -8.784315E+07 -5.702275E+04 -1.321530E+06  6.285850E+06
        27  10  4.768720E+04  2.123702E+05 -1.429203E+07  1.498680E+04 -2.011915E+05  1.722469E+07
        27  11  3.661111E+04  1.624890E+05 -1.166565E+07  2.145745E+03 -8.232953E+05  1.510569E+07
        27  12  6.312234E+04  1.779715E+05 -8.979347E+06 -7.308989E+03 -1.380728E+06  1.412794E+07
        27  13 -1.143356E+05  2.535322E+04 -4.260267E+07  3.452560E+04  8.290537E+04  1.066017E+07
        27  14 -8.217817E+04 -1.955982E+03 -3.988410E+07  1.678692E+04 -6.606013E+05  8.977441E+06
        27  15 -4.165860E+04  6.873409E+03 -3.717379E+07  2.434560E+03 -1.337915E+06  8.446125E+06
        27  16 -2.424451E+04  1.280217E+05 -7.019979E+07  4.711999E+04  7.302653E+05  3.429316E+06
        27  17  2.892937E+04  1.010676E+05 -6.744087E+07  2.448369E+04 -1.483509E+05  2.177398E+06
        27  18  6.124028E+04  8.102683E+04 -6.475841E+07  5.233700E+03 -9.592517E+05  2.087064E+06
        27  19  1.348527E+05  6.389770E+05 -8.975855E+06  1.273814E+04 -5.274928E+05  1.989229E+07
        27  20  1.637142E+05  5.495351E+05 -7.297757E+06  7.170305E+04 -1.119474E+06  1.792271E+07
        27  21  2.606682E+05  5.966357E+05 -5.529226E+06  1.370986E+05 -1.646783E+06  1.705540E+07
        27  22 -4.902949E+05 -2.287888E+05 -2.754256E+07  4.846576E+04 -1.839427E+05  1.377399E+07
        27  23 -3.771650E+05 -2.825057E+05 -2.567503E+07  9.545617E+04 -9.137976E+05  1.220697E+07
        27  24 -2.251677E+05 -2.289052E+05 -2.378525E+07  1.488772E+05 -1.577459E+06  1.175241E+07
        27  25 -9.592766E+05 -8.479895E+05 -4.543689E+07  6.635224E+04  4.932478E+05  6.989338E+06
        27  26 -7.840951E+05 -8.881984E+05 -4.343175E+07  1.013682E+05 -3.881879E+05  5.819448E+06
        27  27 -5.992715E+05 -8.503151E+05 -4.147257E+07  1.428147E+05 -1.201908E+06  5.772176E+06
        28   1 -1.540138E+04 -1.125801E+05 -1.022602E+07  4.973192E+04 -1.766500E+06  1.907704E+07
        28   2 -6.343386E+04 -1.499940E+05 -6.614490E+06  9.626969E+03 -1.207434E+06  2.013647E+07
        28   3 -1.589369E+05 -2.513034E+05 -3.097300E+06 -3.007153E+04 -5.848930E+05  2.246722E+07
        28   4  4.176622E+05  4.374854E+05 -4.829325E+07  5.767061E+04 -2.042409E+06  1.301908E+07
        28   5  3.933628E+05  4.150749E+05 -4.462114E+07  1.936817E+04 -1.496945E+06  1.360946E+07
        28   6  2.875976E+05  2.947735E+05 -4.112269E+07 -1.852782E+04 -8.905958E+05  1.548414E+07
        28   7  1.160949E+06  1.277744E+06 -8.570340E+07  6.165089E+04 -2.915746E+06  6.284002E+06
        28   8  1.188582E+06  1.298536E+06 -8.190490E+07  2.515095E+04 -2.399780E+06  6.411171E+06
        28   9  1.100753E+06  1.187441E+06 -7.835939E+07 -1.094253E+04 -1.825519E+06  7.835601E+06
        28  10  3.028037E+04  1.691340E+05 -7.427030E+06  6.045438E+03 -1.291956E+06  1.411955E+07
        28  11  3.596011E+04  1.733790E+05 -4.778345E+06 -1.719649E+03 -7.745569E+05  1.512313E+07
        28  12  3.307725E+04  2.045136E+05 -2.185091E+06 -1.425822E+04 -1.936835E+05  1.735271E+07
        28  13 -7.343731E+04  6.960588E+00 -3.561791E+07 -2.068829E+03 -1.522236E+06  8.441513E+06
        28  14 -8.328935E+04  1.370001E+04 -3.298908E+07 -1.388486E+04 -1.041641E+06  9.013494E+06
        28  15 -1.356993E+05  2.028741E+04 -3.049500E+07 -3.047437E+04 -5.001614E+05  1.082444E+07
        28  16  2.179612E+04  7.338517E+04 -6.319939E+07 -2.466633E+03 -2.312347E+06  2.086354E+06
        28  17  2.461101E+04  1.247250E+05 -6.052461E+07 -1.833360E+04 -1.884452E+06  2.232565E+06
        28  18 -4.912734E+04  1.349639E+05 -5.806391E+07 -3.897406E+04 -1.398262E+06  3.630711E+06
        28  19  1.514542E+05  5.576420E+05 -4.573353E+06 -1.133975E+05 -1.580070E+06  1.704909E+07
        28  20  2.103797E+05  6.024573E+05 -2.887980E+06 -4.457145E+04 -1.104338E+06  1.794530E+07
        28  21  2.996505E+05  7.649475E+05 -1.219130E+06  1.430116E+04 -5.651324E+05  2.002218E+07
        28  22 -3.341654E+05 -2.643007E+05 -2.282151E+07 -1.378757E+05 -1.816252E+06  1.175098E+07
        28  23 -3.300366E+05 -2.155926E+05 -2.123642E+07 -7.895406E+04 -1.400526E+06  1.225303E+07
        28  24 -3.295577E+05 -8.320488E+04 -1.974718E+07 -2.998585E+04 -9.239155E+05  1.394871E+07
        28  25 -7.321062E+05 -8.914264E+05 -4.050795E+07 -1.429626E+05 -2.574667E+06  5.775738E+06
        28  26 -7.545753E+05 -8.106267E+05 -3.895735E+07 -9.394533E+04 -2.234842E+06  5.889462E+06
        28  27 -8.146898E+05 -6.801427E+05 -3.758192E+07 -5.488151E+04 -1.836722E+06  7.209792E+06
        29   1 -1.471317E+06 -1.783834E+06  2.106522E+07  8.591999E+04 -1.139029E+06  5.750397E+06
        29   2 -1.843292E+06 -1.909374E+06  2.127753E+07  7.507423E+04 -1.671587E+06  4.782095E+06
        29   3 -1.933758E+06 -1.852830E+06  2.224612E+07  7.969896E+04 -2.187179E+06  4.633788E+06
        29   4 -1.801503E+05 -5.176981E+05  1.277365E+07  6.666118E+04 -5.604880E+05  1.148847E+07
        29   5 -4.666177E+05 -6.335584E+05  1.312723E+07  6.565488E+04 -1.058855E+06  1.014765E+07
        29   6 -5.788090E+05 -6.745689E+05  1.398688E+07  8.011907E+04 -1.533366E+06  9.629412E+06
        29   7 -6.097377E+04 -5.426571E+05  1.350421E+06  2.495854E+04 -4.115627E+05  1.687904E+07
        29   8 -1.687352E+05 -5.556401E+05  2.062731E+06  3.379171E+04 -8.813533E+05  1.516631E+07
        29   9 -2.094532E+05 -6.010059E+05  3.030903E+06  5.809536E+04 -1.320398E+06  1.427872E+07
        29  10  1.503273E+05 -6.322057E+05  1.080805E+07  1.480519E+05 -6.039851E+05  1.561725E+06
        29  11 -2.135644E+05 -6.814230E+05  1.067690E+07  3.025193E+04 -9.177749E+05  8.639103E+05
        29  12 -2.882167E+05 -5.305197E+05  1.130975E+07 -5.829810E+04 -1.214598E+06  8.431141E+05
        29  13  7.115851E+05  9.360660E+04  7.468600E+06  1.560479E+05 -1.830698E+05  5.313986E+06
        29  14  4.519590E+05  4.763746E+04  7.428253E+06  4.201085E+04 -4.872650E+05  4.361175E+06
        29  15  3.743395E+05  9.455622E+04  7.901707E+06 -4.277629E+04 -7.676042E+05  4.087959E+06
        29  16  6.154663E+04 -4.885220E+05  9.806466E+05  1.427851E+05 -6.750515E+04  8.718749E+06
        29  17 -6.154303E+02 -4.380445E+05  1.248568E+06  3.251099E+04 -3.677209E+05  7.511534E+06
        29  18  1.199645E+04 -4.019117E+05  1.780080E+06 -4.851327E+04 -6.371908E+05  6.986492E+06
        29  19 -4.557803E+05 -1.265298E+06 -6.528717E+05  1.537153E+05 -3.526210E+05  1.475509E+06
        29  20 -8.318356E+05 -1.285436E+06 -1.147731E+06  1.657213E+05 -4.476423E+05  1.006519E+06
        29  21 -9.109211E+05 -1.087415E+06 -8.708502E+05  2.207567E+05 -5.256972E+05  1.071571E+06
        29  22  2.042290E+05 -7.246693E+05  1.314946E+06  1.754683E+05 -1.309943E+05  3.241960E+06
        29  23 -4.880272E+04 -7.479899E+05  8.604264E+05  1.851606E+05 -2.410178E+05  2.635490E+06
        29  24 -1.120972E+05 -6.603845E+05  9.274385E+05  2.378823E+05 -3.271852E+05  2.565637E+06
        29  25 -3.863641E+05 -1.508827E+06  1.174111E+05  1.771475E+05 -9.045345E+04  4.660913E+06
