
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
        40 -3.194009E+02  2.696195E+03  6.354585E+02
        41 -3.851061E+02  3.290433E+03  6.724358E+02
        42 -4.542699E+02  3.913784E+03  7.016547E+02
        43 -5.262311E+02  4.559073E+03  7.229770E+02
        44 -6.001454E+02  5.219899E+03  7.380794E+02
        45 -6.755734E+02  5.890649E+03  7.472827E+02
        46 -7.518434E+02  6.566753E+03  7.523487E+02
        47 -8.288208E+02  7.244700E+03  7.541457E+02
        48 -8.282890E+02  7.244639E+03  5.993498E+02
        49 -7.501812E+02  6.566563E+03  5.979216E+02
        50 -6.717747E+02  5.890215E+03  5.938955E+02
        51 -5.937445E+02  5.219166E+03  5.865812E+02
        52 -5.164608E+02  4.557956E+03  5.745788E+02
        53 -4.407730E+02  3.912240E+03  5.576331E+02
        54 -3.672982E+02  3.288396E+03  5.344117E+02
        55 -2.970205E+02  2.693635E+03  5.050243E+02
        56 -2.307759E+02  2.135750E+03  4.681567E+02
        57 -1.696249E+02  1.623072E+03  4.242207E+02
        58 -1.144820E+02  1.164244E+03  3.721706E+02
        59 -6.642893E+01  7.679033E+02  3.127977E+02
        60 -2.683434E+01  4.442072E+02  2.445688E+02
        61  2.638161E+00  2.006476E+02  1.681766E+02
        62  2.224935E+01  5.283456E+01  8.390371E+01
        63  2.224935E+01  5.283456E+01 -8.390371E+01
        64  2.638161E+00  2.006476E+02 -1.681766E+02
        65 -2.683434E+01  4.442072E+02 -2.445688E+02
        66 -6.642893E+01  7.679033E+02 -3.127977E+02
        67 -1.144820E+02  1.164244E+03 -3.721706E+02
        68 -1.696249E+02  1.623072E+03 -4.242207E+02
        69 -2.307759E+02  2.135750E+03 -4.681567E+02
        70 -2.970205E+02  2.693635E+03 -5.050243E+02
        71 -3.672982E+02  3.288396E+03 -5.344117E+02
        72 -4.407730E+02  3.912240E+03 -5.576331E+02
        73 -5.164608E+02  4.557956E+03 -5.745788E+02
        74 -5.937445E+02  5.219166E+03 -5.865812E+02
        75 -6.717747E+02  5.890215E+03 -5.938955E+02
        76 -7.501812E+02  6.566563E+03 -5.979216E+02
        77 -8.282890E+02  7.244639E+03 -5.993498E+02
        78 -3.508439E+01  5.939168E+01 -1.055738E+02
        79 -4.921148E+01  2.065775E+02 -2.116121E+02
        80 -7.540674E+01  4.497623E+02 -3.077343E+02
        81 -1.097845E+02  7.728618E+02 -3.935849E+02
        82 -1.523162E+02  1.168571E+03 -4.682923E+02
        83 -2.020526E+02  1.626780E+03 -5.337855E+02
        84 -2.581023E+02  2.138875E+03 -5.890690E+02
        85 -3.194009E+02  2.696195E+03 -6.354585E+02
        86 -3.851061E+02  3.290433E+03 -6.724358E+02
        87 -4.542699E+02  3.913784E+03 -7.016547E+02
        88 -5.262311E+02  4.559073E+03 -7.229770E+02
        89 -6.001454E+02  5.219899E+03 -7.380794E+02
        90 -6.755734E+02  5.890649E+03 -7.472827E+02
        91 -7.518434E+02  6.566753E+03 -7.523487E+02
        92 -8.288208E+02  7.244700E+03 -7.541457E+02
        93  0.000000E+00  0.000000E+00  0.000000E+00
        94  0.000000E+00  0.000000E+00  0.000000E+00
        95  0.000000E+00  0.000000E+00  0.000000E+00
        96  0.000000E+00  0.000000E+00  0.000000E+00
        97  0.000000E+00  0.000000E+00  0.000000E+00
        98 -9.060497E+02  7.922343E+03  3.384998E+02
        99 -9.060586E+02  7.922265E+03 -3.871338E+01
       100 -9.060537E+02  7.922299E+03 -2.045610E-13
       101 -9.060586E+02  7.922265E+03  3.871338E+01
       102 -9.060497E+02  7.922343E+03 -3.384998E+02
       103 -4.580490E+00  6.908879E+01  9.194187E+01
       104 -9.307803E+00  2.131713E+02  1.800390E+02
       105 -2.197133E+01  2.171839E+02  1.917549E+02
       106 -3.492707E+01  2.161479E+02  2.014146E+02
       107 -4.968654E+01  4.591192E+02  2.768281E+02
       108 -7.636794E+01  7.770706E+02  3.338083E+02
       109 -8.690847E+01  7.812791E+02  3.537340E+02
       110 -9.809392E+01  7.795492E+02  3.738518E+02
       111 -1.323131E+02  1.175833E+03  4.208357E+02
       112 -1.770332E+02  1.630143E+03  4.523579E+02
       113 -1.849099E+02  1.633054E+03  4.796043E+02
       114 -1.932352E+02  1.631998E+03  5.068308E+02
       115 -2.436535E+02  2.144146E+03  5.291815E+02
       116 -3.021352E+02  2.698452E+03  5.383141E+02
       117 -3.075691E+02  2.700514E+03  5.707716E+02
       118 -3.133306E+02  2.699733E+03  6.032416E+02
       119 -3.756871E+02  3.293862E+03  6.039224E+02
       120 -4.438546E+02  3.915153E+03  5.942137E+02
       121 -4.471306E+02  3.916393E+03  6.300946E+02
       122 -4.506053E+02  3.915927E+03  6.659831E+02
       123 -5.210586E+02  4.560953E+03  6.491765E+02
       124 -5.952038E+02  5.220539E+03  6.248845E+02
       125 -5.967558E+02  5.221140E+03  6.626635E+02
       126 -5.984083E+02  5.220907E+03  7.004528E+02
       127 -6.735546E+02  5.891375E+03  6.708562E+02
       128 -7.505558E+02  6.566911E+03  6.367609E+02
       129 -7.509566E+02  6.567085E+03  6.753201E+02
       130 -7.513924E+02  6.567010E+03  7.138763E+02
       131 -8.285297E+02  7.244798E+03  6.768552E+02
       132 -7.901513E+00  4.005062E+01  1.051516E+01
       133 -3.756315E+01  1.948541E+02  1.152644E+02
       134 -2.483878E+01  1.921116E+02  2.193054E+01
       135 -1.153701E+01  1.919241E+02 -7.163848E+01
       136 -5.250832E+01  4.344463E+02  3.166014E+01
       137 -9.984918E+01  7.639671E+02  2.155314E+02
       138 -8.935295E+01  7.599052E+02  4.045568E+01
       139 -7.817756E+01  7.614824E+02 -1.345981E+02
       140 -1.344771E+02  1.156912E+03  4.812993E+01
       141 -1.946551E+02  1.619692E+03  2.929986E+02
       142 -1.867684E+02  1.616804E+03  5.485115E+01
       143 -1.784278E+02  1.617839E+03 -1.832985E+02
       144 -2.452206E+02  2.130443E+03  6.052117E+01
       145 -3.142880E+02  2.691377E+03  3.491334E+02
       146 -3.088510E+02  2.689305E+03  6.527773E+01
