36568.56296129, 2128, 2128
36123.57831817, 2085, 2128
34112.80668463, 2043, 2128
34270.91800548, 2002, 2128
34362.86835499, 1961, 2128
34297.24972072, 1921, 2128
33795.07796318, 1882, 2128
33677.98309624, 1844, 2128
33286.78582987, 1807, 2128
32998.34905688, 1770, 2128
32866.42011905, 1734, 2128
32724.03177492, 1699, 2128
32564.72242884, 1665, 2128
32400.43387062, 1631, 2128
31770.02211245, 1598, 2128
31600.89455991, 1566, 2128
31446.83727872, 1534, 2128
31292.18967553, 1503, 2128
31043.9271547, 1472, 2128
30854.06225726, 1442, 2128
30696.14847774, 1413, 2128
30506.09809964, 1384, 2128
30268.84782341, 1356, 2128
30104.17168812, 1328, 2128
29947.9354077, 1301, 2128
29435.10831465, 1274, 2128
29216.99861014, 1248, 2128
29065.00784416, 1223, 2128
28906.40274581, 1198, 2128
28740.18938059, 1174, 2128
28631.58607922, 1150, 2128
28474.12214977, 1127, 2128
28273.15875255, 1104, 2128
27961.48851307, 1081, 2128
27775.07266996, 1069, 2128
