35490.453138, 144, 144
35477.275737, 141, 144
35173.559525, 138, 144
34649.941058, 135, 144
33901.249654, 132, 144
33126.218233, 129, 144
32934.680365, 126, 144
33015.135537, 123, 144
33027.194783, 120, 144
33024.352747, 117, 144
32949.850732, 114, 144
32793.635301, 111, 144
32637.343895, 108, 144
32567.714710, 105, 144
31461.861870, 102, 144
29259.845870, 99, 144
28173.646083, 97, 144
27486.772142, 95, 144
27322.173948, 93, 144
27156.410451, 91, 144
26951.402230, 89, 144
26766.339431, 87, 144
26621.357286, 85, 144
26413.141438, 83, 144
26242.531685, 81, 144
26053.592155, 79, 144
25904.763918, 77, 144
25618.114249, 75, 144
25117.418177, 73, 144
24743.872410, 71, 144
